Carrier Code,Flight Number,Departure Airport,Arrival Airport,Scheduled Departure Date,Aircraft Type,Estimated FuelBurn(T),Estimated co2 (T)
XH,8520,CDG,ZRH,1/27/2024,320,2.17,6.859
XH,9852,MBJ,MSP,1/25/2024,73J,11.038,34.883
XH,7099,YYZ,YOW,1/20/2024,73W,1.987,6.279
XH,9765,ATL,BON,1/23/2024,73H,9.906,31.303
XH,6977,YYC,PSP,1/25/2024,7S8,6.958,21.988
XH,5678,JFK,DCA,1/21/2024,E75,1.329,4.199
XH,9580,AMS,ORK,1/22/2024,E90,3.283,10.374
XH,8597,VLC,CDG,1/21/2024,E90,3.768,11.906
XH,2779,ATL,MCI,1/25/2024,73J,4.59,14.503
XH,2952,IND,ATL,1/30/2024,73J,2.961,9.358
XH,2220,EWR,DTW,1/23/2024,717,3.225,10.19
XH,2097,AVL,ATL,1/19/2024,717,3.671,11.601
XH,7979,LAX,MEX,1/18/2024,7M8,7.335,23.177
XH,9896,PUJ,ATL,1/25/2024,75W,11.101,35.079
XH,2099,LGA,PBI,1/13/2024,32B,9.053,28.608
XH,5972,AEX,ATL,1/13/2024,CR9,2.357,7.449
XH,6086,EZE,LIM,1/14/2024,319,10.35,32.706
XH,9297,ROA,ATL,1/20/2024,717,2.458,7.768
XH,9899,CMH,MSP,1/20/2024,CR9,2.926,9.247
XH,9750,DTW,MBJ,1/24/2024,73J,9.589,30.301
XH,755,TPA,MSP,1/14/2024,73J,8.566,27.07
XH,9069,MDW,ATL,1/25/2024,717,3.476,10.986
XH,9799,ORD,LGA,1/25/2024,223,2.659,8.404
XH,5088,JFK,YUL,1/26/2024,CR9,1.597,5.048
XH,8660,CDG,VLC,1/24/2024,E90,3.414,10.787
XH,9875,IND,MSP,1/22/2024,E75,2.175,6.872
XH,758,RSW,MSP,1/15/2024,32B,10.004,31.614
XH,9576,ATL,MCO,1/27/2024,75W,4.072,12.867
XH,5967,LHR,MIA,1/30/2024,351,54.3,171.587
XH,6697,FCO,BRI,1/13/2024,320,2.089,6.6
XH,8789,LAS,LAX,1/13/2024,319,1.984,6.268
XH,6068,SCL,MIA,1/27/2024,789,39.571,125.046
XH,6986,SCL,BOG,1/14/2024,788,26.565,83.945
XH,679,SLC,CUN,1/28/2024,73J,11.856,37.464
XH,2775,MEM,ATL,1/20/2024,73J,2.433,7.689
XH,9690,BZN,SLC,1/22/2024,E7W,1.666,5.266
XH,9859,MSP,PUJ,1/13/2024,73J,12.233,38.657
XH,5997,ORF,LGA,1/29/2024,CR9,1.788,5.651
XH,7992,DHN,ATL,1/16/2024,CR9,1.468,4.64
XH,8765,CDG,NCE,1/26/2024,E90,2.406,7.604
XH,9957,DTW,SDF,1/26/2024,CR9,1.96,6.194
XH,5679,CVG,BOS,1/28/2024,E75,2.572,8.127
XH,8967,CDG,NSI,1/29/2024,332,43.273,136.742
XH,9978,CPE,MEX,1/17/2024,E90,3.492,11.035
XH,5698,DCA,LGA,1/26/2024,E75,1.104,3.487
XH,950,ATL,BOS,1/19/2024,32Q,4.654,14.706
XH,980,ATL,DCA,1/26/2024,320,3.659,11.562
XH,7982,HMO,MEX,1/26/2024,7M8,4.475,14.139
XH,6297,CWB,GRU,1/14/2024,32N,1.628,5.145
XH,9685,SOU,AMS,1/31/2024,E90,1.951,6.166
XH,9925,AAL,AMS,1/21/2024,E7W,1.854,5.859
XH,9875,SLC,GTF,1/27/2024,E7W,2.103,6.645
XH,9689,MSP,BDL,1/19/2024,73H,5.857,18.508
XH,8228,NSI,CDG,1/14/2024,332,47.765,150.939
XH,9969,AUS,SLC,1/22/2024,223,3.999,12.637
XH,9929,DAY,ATL,1/17/2024,717,2.488,7.862
XH,8662,CDG,BHX,1/23/2024,E90,2.181,6.894
XH,5825,PIT,LGA,1/24/2024,E75,1.561,4.934
XH,5952,RDU,BNA,1/19/2024,CR9,2.62,8.28
XH,975,ATL,LAS,1/25/2024,32B,11.994,37.902
XH,9765,HEL,AMS,1/30/2024,73H,6.063,19.158
XH,9758,PBI,ATL,1/30/2024,32B,4.608,14.561
XH,6907,GRU,SCL,1/13/2024,321,11.669,36.875
XH,9907,AMS,LUX,1/27/2024,E7W,1.15,3.634
XH,5657,LGA,IND,1/22/2024,E75,2.767,8.744
XH,777,SEA,FLL,1/19/2024,32Q,11.218,35.451
XH,9560,MME,AMS,1/30/2024,E7W,1.547,4.888
XH,878,LAX,PDX,1/13/2024,319,5.174,16.35
XH,9989,LAX,SJC,1/25/2024,E7W,1.782,5.631
XH,2009,SFO,SLC,1/28/2024,73H,3.753,11.858
XH,9987,ATL,BUF,1/21/2024,320,4.472,14.131
XH,9295,FLL,ATL,1/13/2024,752,5.602,17.701
XH,57,ATL,LOS,1/30/2024,332,65.021,205.467
XH,2997,GEG,MSP,1/21/2024,319,6.046,19.106
XH,9977,ORD,MSP,1/18/2024,717,2.533,8.004
XH,8799,DUS,CDG,1/24/2024,E90,1.971,6.23
XH,7272,MSP,BRD,1/31/2024,CR7,0.972,3.072
XH,7720,ICN,TPE,1/28/2024,333,15.887,50.202
XH,2079,ATL,MEM,1/24/2024,73J,2.735,8.644
XH,2796,MCO,LGA,1/31/2024,32B,6.79,21.458
XH,7668,BOS,ICN,1/22/2024,789,81.776,258.415
XH,9977,FLL,LGA,1/13/2024,32B,7.058,22.305
XH,9767,AMS,LBA,1/13/2024,E90,1.768,5.585
XH,2997,EWR,ATL,1/15/2024,717,4.748,15.005
XH,8295,CDG,WAW,1/22/2024,223,2.541,8.029
XH,55,LOS,ATL,1/17/2024,332,76.486,241.697
XH,6295,GRU,VIX,1/29/2024,320,3.025,9.559
XH,5590,MCI,BOS,1/22/2024,E75,3.578,11.307
XH,887,SLC,IAD,1/25/2024,73H,9.287,29.346
XH,7962,PEI,BOG,1/28/2024,32A,1.324,4.183
XH,9927,SMF,LAX,1/29/2024,E7W,1.985,6.271
XH,6079,AJU,GRU,1/29/2024,32N,4.434,14.011
XH,7559,EBB,NBO,1/16/2024,E90,2.1,6.636
XH,779,LAX,ATL,1/30/2024,73J,9.287,29.348
XH,2299,DAB,ATL,1/23/2024,73J,2.801,8.849
XH,6287,VIX,GRU,1/18/2024,320,3.354,10.6
XH,7759,CAN,PVG,1/15/2024,333,11.188,35.354
XH,6280,MVD,LIM,1/19/2024,319,10.687,33.77
XH,909,BOS,DFW,1/15/2024,221,6.95,21.961
XH,6275,CLO,BOG,1/20/2024,32A,1.852,5.853
XH,9679,EWR,MSP,1/22/2024,717,5.601,17.701
XH,2925,ATL,EWR,1/16/2024,717,3.579,11.308
XH,9798,SEA,SLC,1/22/2024,73J,4.38,13.841
XH,5906,BTV,LGA,1/22/2024,CR9,1.575,4.976
XH,6995,SLZ,GRU,1/20/2024,32B,9.634,30.442
XH,8706,CDG,MRS,1/23/2024,321,3.066,9.69
XH,757,JFK,DEN,1/26/2024,32Q,9.119,28.815
XH,2675,BOS,FLL,1/22/2024,73H,7.934,25.07
XH,797,SEA,DTW,1/13/2024,73J,10.019,31.659
XH,8589,NCE,CDG,1/27/2024,321,3.952,12.49
XH,597,LGA,DFW,1/17/2024,221,5.588,17.659
XH,5998,JFK,ITH,1/22/2024,CR9,1.41,4.457
XH,8972,MEX,MTT,1/24/2024,E90,2.246,7.098
XH,8589,NCE,CDG,1/20/2024,321,3.878,12.254
XH,595,LAX,ATL,1/25/2024,32B,11.864,37.49
XH,6986,YVR,PSP,1/19/2024,7M8,5.944,18.782
XH,8070,BJX,MEX,1/26/2024,E90,1.775,5.61
XH,9900,SEA,LWS,1/13/2024,E7W,1.482,4.683
XH,575,JFK,PHX,1/28/2024,32Q,11.371,35.934
XH,9895,ATL,SJD,1/25/2024,73J,10.615,33.544
XH,9862,GTF,SLC,1/29/2024,E7W,1.9,6.006
XH,2276,MCO,LGA,1/16/2024,32B,6.156,19.453
XH,2789,ATL,MSY,1/16/2024,73J,3.47,10.967
XH,2627,JAX,ATL,1/26/2024,73J,2.355,7.443
XH,5725,MYR,LGA,1/27/2024,CR9,2.206,6.972
XH,2579,LAX,JFK,1/31/2024,76W,25.615,80.944
XH,9659,DCA,DTW,1/14/2024,320,3.317,10.482
XH,9987,ICT,ATL,1/19/2024,73H,4.269,13.491
XH,6999,GRU,MVD,1/27/2024,321,7.218,22.809
XH,7827,CLT,JFK,1/19/2024,CR9,2.923,9.236
XH,5750,DCA,LEX,1/25/2024,E70,1.813,5.728
XH,2780,BWI,DTW,1/23/2024,717,2.593,8.194
XH,8979,MEX,DGO,1/29/2024,E90,2.826,8.929
XH,9577,LGA,MIA,1/27/2024,32B,8.222,25.982
XH,909,HNL,MSP,1/18/2024,76W,38.44,121.471
XH,5657,LGA,IND,1/15/2024,E75,2.895,9.147
XH,8990,GDL,SLC,1/14/2024,7S8,9.554,30.189
XH,9520,MSP,FLL,1/13/2024,32B,9.969,31.502
XH,5795,LGA,PIT,1/24/2024,E75,1.766,5.58
XH,9997,PSC,SEA,1/30/2024,E7W,1.39,4.393
XH,9298,GRR,ATL,1/29/2024,32B,5.03,15.895
XH,2008,ATL,GSO,1/14/2024,717,2.051,6.483
XH,5772,MSP,FSD,1/16/2024,CR9,1.208,3.816
XH,2909,DTW,MSP,1/25/2024,73J,3.714,11.738
XH,9779,DAL,ATL,1/22/2024,717,3.539,11.184
XH,5068,CLT,LGA,1/21/2024,CR9,2.408,7.61
XH,6892,HNL,ITO,1/26/2024,717,1.472,4.651
XH,9767,BON,ATL,1/29/2024,73H,11.27,35.614
XH,5680,CMH,LGA,1/31/2024,E70,2.094,6.616
XH,9058,MEX,TGZ,1/25/2024,7S8,2.798,8.842
XH,9997,AMS,YYC,1/24/2024,77W,72.364,228.671
XH,2977,ATL,PVD,1/26/2024,320,4.923,15.558
XH,6798,BIO,MAD,1/18/2024,73H,1.839,5.811
XH,9802,PDX,SEA,1/29/2024,E7W,1.059,3.345
XH,5627,OMA,LGA,1/14/2024,E75,3.345,10.571
XH,5989,ATL,BMI,1/21/2024,CR7,1.994,6.3
XH,699,ATL,DAL,1/17/2024,319,4.583,14.483
XH,6909,YVR,YLW,1/29/2024,73W,1.739,5.496
XH,9205,GNV,ATL,1/17/2024,717,2.168,6.852
XH,9805,MKE,LGA,1/28/2024,E7W,3.245,10.255
XH,2287,SNA,SEA,1/29/2024,221,3.688,11.655
XH,9959,ATL,ABY,1/27/2024,CR9,1.212,3.829
XH,9977,AUS,ATL,1/14/2024,32B,5.469,17.283
XH,2597,ORD,SLC,1/21/2024,319,6.899,21.8
XH,9596,LUX,AMS,1/28/2024,E90,1.886,5.961
XH,6677,FCO,NAP,1/26/2024,223,1.209,3.82
XH,9999,AMS,CDG,1/24/2024,73J,2.246,7.096
XH,6996,REC,GRU,1/29/2024,32B,8.856,27.986
XH,9755,CAE,ATL,1/28/2024,717,1.992,6.296
XH,575,JFK,PHX,1/30/2024,32Q,11.371,35.934
XH,999,LAX,PPT,1/30/2024,76W,43.456,137.32
XH,9726,SAT,SLC,1/24/2024,319,5.632,17.799
XH,8775,BCN,CDG,1/28/2024,32A,3.618,11.432
XH,2968,EYW,ATL,1/16/2024,319,4.032,12.74
XH,9699,SFO,SEA,1/13/2024,E7W,2.924,9.241
XH,2659,DTW,CLE,1/25/2024,717,1.126,3.557
XH,8797,CDG,BZV,1/26/2024,359,36.922,116.673
XH,9999,SLC,TUL,1/30/2024,E7W,3.403,10.753
XH,9720,AMS,MXP,1/25/2024,73W,3.994,12.621
XH,9899,LWS,SLC,1/14/2024,E7W,2.17,6.856
XH,2920,MSP,IAH,1/21/2024,221,3.83,12.102
XH,5999,ROC,LGA,1/22/2024,CR9,1.637,5.172
XH,2999,FLL,BOS,1/23/2024,73H,6.746,21.315
XH,9972,MEX,MTY,1/13/2024,73H,3.146,9.941
XH,9695,AMS,GVA,1/24/2024,73H,2.409,7.612
XH,2599,ATL,GSO,1/24/2024,717,1.953,6.171
XH,2689,ATL,MSN,1/21/2024,717,3.872,12.236
XH,9299,ATL,MCO,1/15/2024,76W,6.089,19.241
XH,6878,YEG,LAS,1/19/2024,7S8,6.448,20.377
XH,790X,IAH,BTR,1/28/2024,CRJ2,0.815,2.574
XH,5978,LAX,LHR,1/26/2024,351,57.687,182.291
XH,2695,LGA,IAH,1/17/2024,221,5.416,17.115
XH,5729,TLH,ATL,1/17/2024,CR7,1.689,5.337
XH,9990,BDL,MSP,1/26/2024,73H,6.944,21.941
XH,9760,SEA,LAX,1/22/2024,73H,5.797,18.318
XH,7022,TUL,SLC,1/18/2024,E7W,4.167,13.169
XH,667,DFW,ATL,1/31/2024,321,5.03,15.896
XH,927,MAD,JFK,1/20/2024,764,40.251,127.194
XH,7286,DTW,PLN,1/22/2024,CR9,1.372,4.336
XH,6009,BOG,PEI,1/28/2024,320,1.684,5.32
XH,5057,ATL,ATW,1/27/2024,CR9,2.95,9.322
XH,2992,ATL,BWI,1/19/2024,75W,4.527,14.305
XH,7269,MSP,XWA,1/27/2024,CR9,2.377,7.511
XH,9800,MBJ,ATL,1/13/2024,32B,7.587,23.974
XH,9908,AMS,NCE,1/25/2024,E90,3.22,10.176
XH,9972,YYZ,ATL,1/22/2024,319,4.261,13.464
XH,6808,OGG,HNL,1/18/2024,717,1.161,3.669
XH,9099,TPA,ATL,1/26/2024,73J,3.012,9.52
XH,7859,PUS,ICN,1/14/2024,73J,2.413,7.625
XH,2709,ATL,LIT,1/26/2024,73J,3.442,10.877
XH,9067,MEX,SEA,1/15/2024,7M8,11.831,37.385
XH,8795,LYS,AMS,1/27/2024,E70,2.446,7.73
XH,9099,JFK,ICN,1/18/2024,74H,147.098,464.829
XH,9770,SLC,SEA,1/29/2024,73J,4.172,13.182
XH,9927,WRO,AMS,1/29/2024,E90,2.958,9.346
XH,2999,MEM,ATL,1/23/2024,717,2.087,6.596
XH,8969,FLR,CDG,1/20/2024,319,3.223,10.183
XH,8569,MAD,CDG,1/22/2024,223,2.852,9.011
XH,9909,ATL,CVG,1/23/2024,73J,2.839,8.972
XH,660,ATL,SLC,1/21/2024,32B,11.49,36.308
XH,6905,BOG,MDE,1/20/2024,32A,1.655,5.23
XH,9277,SLC,JAC,1/26/2024,319,1.952,6.168
XH,759,PSP,MSP,1/18/2024,32B,9.129,28.849
XH,6920,NAT,GIG,1/31/2024,321,8.152,25.761
XH,9989,AMS,BER,1/22/2024,73H,2.415,7.628
XH,2979,SEA,FAI,1/29/2024,223,5.061,15.994
XH,9607,AMS,BCN,1/30/2024,73H,4.733,14.957
XH,778,LGA,ATL,1/13/2024,320,5.358,16.933
XH,5685,JFK,BOS,1/20/2024,E75,1.346,4.253
XH,6978,YYC,SFO,1/23/2024,7M8,5.058,15.983
XH,8662,CDG,BHX,1/16/2024,E90,2.197,6.944
XH,9688,BOI,SEA,1/16/2024,E7W,2.183,6.901
XH,6625,AMS,FCO,1/16/2024,32N,3.427,10.829
XH,7295,FRA,RIX,1/23/2024,223,3.169,10.013
XH,5709,BOS,DCA,1/29/2024,E75,1.913,6.045
XH,779,SLC,RNO,1/30/2024,73H,2.869,9.064
XH,8660,CDG,VLC,1/21/2024,E90,3.385,10.697
XH,9979,BRS,AMS,1/27/2024,E7W,1.498,4.731
XH,5099,ATL,MDT,1/18/2024,CR9,2.362,7.464
XH,5992,LGA,RDU,1/18/2024,CR9,2.447,7.733
XH,7980,LAS,MEX,1/17/2024,7S8,8.14,25.722
XH,9257,AMS,NCL,1/21/2024,E90,2.269,7.172
XH,9079,SLC,SJC,1/21/2024,223,2.59,8.185
XH,8599,GOT,CDG,1/24/2024,E90,3.946,12.469
XH,996,DEN,ATL,1/15/2024,32B,7.212,22.791
XH,2692,ATL,AUS,1/18/2024,32B,6.519,20.599
XH,9978,ELP,ATL,1/18/2024,73H,6.457,20.405
XH,6970,UDI,GRU,1/31/2024,320,2.604,8.227
XH,7920,SGN,ICN,1/18/2024,772,35.819,113.189
XH,7879,DPS,ICN,1/16/2024,333,40.785,128.882
XH,9975,ATL,RIC,1/24/2024,752,4.145,13.097
XH,9972,MCO,ATL,1/18/2024,75W,4.527,14.306
XH,678,LAX,ATL,1/13/2024,359,18.067,57.092
XH,7299,SBN,DTW,1/20/2024,CR9,1.15,3.635
XH,8729,CDG,TBS,1/24/2024,32A,10.313,32.59
XH,7796,AMS,FAO,1/13/2024,73H,7.588,23.978
XH,5997,JFK,LHR,1/15/2024,351,38.14,120.521
XH,9868,MDT,DTW,1/17/2024,CRJ9,1.997,6.312
XH,6776,PKX,PVG,1/21/2024,321,6.634,20.963
XH,2726,ATL,BNA,1/17/2024,73J,2.156,6.811
XH,9892,SEA,GEG,1/30/2024,E7W,1.236,3.904
XH,9587,AMS,LOS,1/21/2024,332,37.097,117.227
XH,8970,MSP,PDX,1/13/2024,752,11.155,35.251
XH,6990,PSP,YYC,1/18/2024,7S8,7.467,23.595
XH,7266,MSP,INL,1/20/2024,CR9,1.391,4.396
XH,2995,DFW,BOS,1/29/2024,221,5.231,16.531
XH,9779,DUS,AMS,1/20/2024,E7W,1.073,3.388
XH,8977,QRO,MTY,1/31/2024,E90,2.325,7.348
XH,899,BNA,LAX,1/20/2024,73J,11.52,36.404
XH,2969,DFW,ATL,1/30/2024,320,4.346,13.731
XH,797,PDX,MSP,1/25/2024,73J,7.81,24.677
XH,8070,SFO,MEX,1/14/2024,7S8,8.767,27.706
XH,896,ATL,MKE,1/26/2024,73J,4.177,13.201
XH,9296,FLL,ATL,1/21/2024,75W,5.51,17.413
XH,7970,SAV,LGA,1/24/2024,CR9,2.907,9.188
XH,7209,YYC,YHZ,1/30/2024,7S8,11.796,37.274
XH,7979,LAX,LIM,1/25/2024,788,36.642,115.79
XH,7579,HRE,LUN,1/28/2024,73H,2.09,6.603
XH,778,JFK,LAS,1/24/2024,32Q,11.754,37.143
XH,909,HNL,MSP,1/31/2024,76W,38.142,120.529
XH,2997,MCO,DTW,1/17/2024,75T,10.284,32.498
XH,9599,ATL,TPA,1/19/2024,75W,4.163,13.155
XH,9566,JFK,JAX,1/27/2024,221,3.259,10.298
XH,766,SLC,PDX,1/16/2024,73J,3.902,12.329
XH,5799,BOS,LGA,1/26/2024,E75,1.3,4.108
XH,700,ORD,MSP,1/14/2024,319,2.506,7.919
XH,799,MSP,SFO,1/21/2024,73J,10.895,34.429
XH,5797,MSN,DCA,1/31/2024,E70,2.381,7.524
XH,6905,PSP,YVR,1/19/2024,7S8,6.759,21.359
XH,2792,RDU,MCO,1/27/2024,320,3.617,11.431
XH,8299,CDG,ABJ,1/27/2024,772,40.538,128.099
XH,8927,MEX,AGU,1/15/2024,E90,1.833,5.795
XH,9529,MIA,MSP,1/30/2024,320,8.694,27.473
XH,2729,ALB,ATL,1/22/2024,320,6.314,19.955
XH,2759,PBI,HPN,1/18/2024,717,5.187,16.391
XH,7996,DTW,CLE,1/30/2024,E7W,0.829,2.619
XH,6697,FCO,LIN,1/29/2024,319,2.152,6.799
XH,9820,LIR,ATL,1/29/2024,75W,12.449,39.337
XH,7977,YEG,LAX,1/19/2024,73W,7.595,24
XH,7987,IND,JFK,1/19/2024,CR9,2.654,8.386
XH,2069,BDL,ATL,1/13/2024,73J,6.641,20.985
XH,677,LAS,RDU,1/15/2024,73J,9.536,30.134
XH,5269,DCA,RDU,1/29/2024,CR9,1.682,5.316
XH,6897,MCO,YYC,1/14/2024,7S8,14.114,44.601
XH,5509,AGS,ATL,1/21/2024,CR9,1.246,3.938
XH,2999,HDN,ATL,1/13/2024,75W,8.333,26.332
XH,9827,GEG,SEA,1/18/2024,E7W,1.482,4.685
XH,7095,YEG,OGG,1/19/2024,7M8,13.971,44.15
XH,7987,MEX,MID,1/25/2024,73H,3.475,10.983
XH,8972,MEX,MTT,1/18/2024,E90,2.14,6.761
XH,7929,ICN,CNX,1/22/2024,333,36.359,114.894
XH,2597,SLC,ORD,1/19/2024,223,4.106,12.975
XH,7299,MSP,BJI,1/25/2024,CR7,1.083,3.424
XH,5978,LGA,ORF,1/31/2024,CR9,1.796,5.675
XH,8592,CMN,CDG,1/15/2024,320,6.945,21.946
XH,7706,GRU,FLN,1/27/2024,320,2.576,8.138
XH,9796,ATL,JAN,1/15/2024,717,2.372,7.494
XH,9799,MCO,SLC,1/27/2024,32B,13.709,43.32
XH,6907,VIX,GRU,1/24/2024,320,3.354,10.6
XH,5682,CMH,JFK,1/26/2024,E70,2,6.321
XH,5727,PHL,BOS,1/16/2024,E75,1.63,5.152
XH,7595,AMS,VLC,1/19/2024,73H,5.203,16.44
XH,9958,ATL,DTW,1/31/2024,73J,3.786,11.963
XH,6979,CIX,LIM,1/16/2024,320,2.775,8.768
XH,996,DEN,ATL,1/22/2024,75W,8.77,27.713
XH,6256,CTG,BOG,1/30/2024,320,2.983,9.428
XH,2207,CHS,ATL,1/21/2024,73J,2.511,7.935
XH,969,BCN,JFK,1/28/2024,333,51.59,163.025
XH,669,ATL,SLC,1/30/2024,321,10.5,33.181
XH,9628,AMS,BHX,1/14/2024,E90,2.029,6.409
XH,7299,YYC,YVR,1/30/2024,73W,3.151,9.957
XH,687,TYS,ATL,1/19/2024,717,1.721,5.439
XH,8560,LAX,PPT,1/14/2024,359,41.562,131.335
XH,577,ATL,MEX,1/20/2024,75W,11.483,36.287
XH,9902,AMS,ABZ,1/26/2024,E7W,2.118,6.691
XH,9765,ATL,SAT,1/28/2024,32B,6.494,20.52
XH,909,ATL,LAX,1/29/2024,359,21.89,69.172
XH,986,LAX,LHR,1/16/2024,339,54.319,171.647
XH,779,SLC,RNO,1/27/2024,73H,3.001,9.482
XH,757,DFW,JFK,1/19/2024,221,5.191,16.405
XH,9927,DTW,ATL,1/27/2024,73J,4.5,14.219
XH,9779,DUS,AMS,1/22/2024,E90,1.079,3.409
XH,970,JFK,BRU,1/16/2024,76W,33.582,106.12
XH,926,LGA,DFW,1/28/2024,319,7.939,25.087
XH,989,LAS,DTW,1/18/2024,32B,10.944,34.584
XH,9782,MCI,MSP,1/15/2024,717,2.855,9.021
XH,6905,CUZ,LIM,1/13/2024,32A,2.96,9.353
XH,7797,GYN,GRU,1/22/2024,32N,3.355,10.602
XH,6995,CWB,GRU,1/13/2024,32B,2.779,8.781
XH,5077,ATL,GTR,1/26/2024,CR9,1.407,4.445
XH,9577,LAS,MSP,1/24/2024,73J,7.369,23.285
XH,5290,ORF,JFK,1/13/2024,CR9,1.758,5.554
XH,9967,DTW,ATL,1/21/2024,359,8.614,27.221
XH,7988,BGA,BOG,1/30/2024,320,1.976,6.245
XH,2799,ATL,BWI,1/16/2024,75W,4.6,14.536
XH,2787,ATL,BHM,1/26/2024,73J,1.556,4.915
XH,8699,IAD,CDG,1/14/2024,77W,56.441,178.353
XH,6989,YYC,YYJ,1/13/2024,73W,3.075,9.718
XH,9685,MCO,JFK,1/29/2024,32B,6.238,19.712
XH,6985,PVG,TSN,1/17/2024,32B,6.269,19.809
XH,7508,AMS,SKG,1/23/2024,73H,6.289,19.872
XH,8582,CDG,TLS,1/24/2024,320,2.575,8.137
XH,6799,CNF,GRU,1/14/2024,320,2.547,8.051
XH,5879,LGA,RDU,1/23/2024,E70,2.032,6.42
XH,8597,TRN,CDG,1/19/2024,E90,2.473,7.816
XH,9598,GLA,AMS,1/27/2024,295,2.349,7.421
XH,8797,CDG,ORD,1/18/2024,359,42.709,134.96
XH,7929,DTW,ALB,1/18/2024,CR9,2.098,6.629
XH,9220,ATL,DAL,1/13/2024,319,4.971,15.709
XH,877,SJC,SLC,1/24/2024,221,2.472,7.81
XH,9772,MSP,IND,1/29/2024,CR9,2.349,7.423
XH,7997,ICN,SGN,1/22/2024,772,43.552,137.625
XH,9595,AMS,TRF,1/13/2024,E7W,2.289,7.233
XH,9297,SLC,DEN,1/25/2024,319,2.534,8.008
XH,9778,MOT,MSP,1/27/2024,E7W,2.034,6.427
XH,9969,SLC,OMA,1/18/2024,E7W,3.037,9.598
XH,6775,LCG,MAD,1/24/2024,73H,2.753,8.699
XH,675,SLC,DTW,1/23/2024,73J,8.574,27.094
XH,2968,EYW,ATL,1/24/2024,319,3.944,12.462
XH,9692,SLC,LAX,1/24/2024,32B,4.884,15.433
XH,8095,DFW,MEX,1/22/2024,E90,5.132,16.216
XH,5888,CMH,PIT,1/19/2024,E70,1.009,3.187
XH,2822,RDU,BOS,1/21/2024,221,2.535,8.009
XH,6209,LIM,GYE,1/28/2024,319,4.211,13.305
XH,6699,FCO,AMS,1/18/2024,32N,4.047,12.789
XH,9979,AMS,WAW,1/14/2024,73H,3.913,12.368
XH,9879,AGS,ATL,1/29/2024,CR9,1.327,4.192
XH,7876,CAE,ATL,1/28/2024,CR9,1.506,4.76
XH,6990,GRU,BEL,1/20/2024,32Q,8.393,26.524
XH,8799,STR,CDG,1/25/2024,E70,1.724,5.447
XH,9772,MSY,LAX,1/27/2024,73J,9.691,30.624
XH,2799,ATL,BWI,1/28/2024,752,5.929,18.736
XH,5669,LGA,CHS,1/21/2024,E75,2.326,7.351
XH,5700,ORD,BOS,1/30/2024,E75,2.866,9.056
XH,9595,ATL,ORF,1/21/2024,75W,4.272,13.5
XH,665,ONT,ATL,1/27/2024,32B,11.659,36.842
XH,2055,SLC,ORD,1/13/2024,221,4.12,13.018
XH,6967,YYC,YQR,1/31/2024,7S8,2.773,8.76
XH,5025,LGA,AVL,1/18/2024,CR9,3.69,11.66
XH,9970,ATL,MSY,1/26/2024,73J,3.063,9.681
XH,9899,OMA,MSP,1/23/2024,E7W,1.585,5.008
XH,9578,GOA,AMS,1/22/2024,E90,3.42,10.808
XH,65,LAX,AKL,1/17/2024,359,60.871,192.353
XH,5709,DCA,BOS,1/31/2024,E75,1.851,5.85
XH,757,OMA,ATL,1/27/2024,717,4.253,13.44
XH,759,STL,SLC,1/25/2024,73H,7.116,22.487
XH,6627,GOA,FCO,1/17/2024,223,1.328,4.198
XH,2597,ORD,SLC,1/23/2024,223,4.766,15.061
XH,7078,MSP,FSD,1/28/2024,CR9,1.127,3.562
XH,9589,AMS,VCE,1/15/2024,295,2.511,7.936
XH,9677,AMS,AES,1/29/2024,E7W,2.745,8.673
XH,909,ATL,EZE,1/13/2024,764,47.86,151.236
XH,9228,DTW,STL,1/22/2024,73J,3.3,10.428
XH,5626,LGA,MSN,1/25/2024,E75,3.128,9.885
XH,2525,ATL,DCA,1/26/2024,320,3.701,11.696
XH,9959,DTW,ATL,1/23/2024,32B,5.322,16.818
XH,9569,SLC,FCA,1/26/2024,73J,3.678,11.621
XH,7709,MDE,BOG,1/18/2024,320,1.721,5.438
XH,8777,ARN,CDG,1/21/2024,320,6.182,19.534
XH,7899,PWM,LGA,1/20/2024,CR9,1.822,5.758
XH,5695,BOS,CLT,1/24/2024,E75,3.076,9.721
XH,795,HNL,LAX,1/15/2024,76W,30.486,96.337
XH,859,PHX,DTW,1/21/2024,75T,13.266,41.921
XH,6999,YEG,PHX,1/22/2024,73W,7.336,23.182
XH,9655,OMA,DTW,1/19/2024,E7W,2.723,8.604
XH,6908,YEG,YYZ,1/22/2024,7S8,8.677,27.422
XH,6979,PHX,YVR,1/17/2024,73W,7.756,24.508
XH,757,ATL,PHX,1/15/2024,764,23.012,72.719
XH,6766,AMS,MAD,1/19/2024,789,10.582,33.438
XH,9989,DTW,SAT,1/18/2024,320,7.1,22.435
XH,9977,MSP,ORD,1/17/2024,319,2.254,7.124
XH,790,SAN,MSP,1/27/2024,32B,10.411,32.898
XH,2702,IAH,LGA,1/13/2024,223,3.798,12.003
XH,9889,SEA,SMF,1/25/2024,E7W,2.496,7.885
XH,9669,LGA,MSP,1/18/2024,319,6.396,20.211
XH,2856,ATL,PHL,1/26/2024,32B,5.565,17.585
XH,9657,MCO,MSP,1/20/2024,32B,10.234,32.339
XH,9780,GDN,AMS,1/29/2024,E7W,2.53,7.996
